計算対象,日付,内容,金額（円）,保有金融機関,大項目,中項目,メモ,振替,ID
1,2025/01/05,スーパーサミット,-4500,三井住友カード,食費,食料品,,0,sample-id-001
1,2025/01/12,Amazon.co.jp,-3200,楽天カード,教養・教育,書籍,,0,sample-id-002
1,2025/02/03,スタバ渋谷店,-860,三井住友カード,趣味・娯楽,カフェ,,0,sample-id-003
1,2025/02/18,TOHOシネマズ,-1900,楽天カード,趣味・娯楽,映画,,0,sample-id-004
1,2025/03/02,ヨドバシカメラ,-12800,楽天カード,日用品,家電,,0,sample-id-005
0,2025/03/15,定期預金へ振替,-50000,三井住友銀行,特別な支出,資産移動,,1,sample-id-006
1,2025/04/09,スパ銭湯,-2400,楽天カード,健康・医療,リラクゼーション,,0,sample-id-007
1,2025/05/20,Suica(携帯決済),-1200,楽天カード,現金・カード,電子マネー,,0,sample-id-008
1,2025/06/05,BookLive!,-780,楽天カード,教養・教育,書籍,,0,sample-id-009
1,2025/07/14,Uber Eats,-2600,三井住友カード,食費,デリバリー,,0,sample-id-010
1,2025/09/01,ふるさと納税,-20000,楽天カード,特別な支出,寄付,,0,sample-id-011
1,2025/10/10,無印良品,-6500,三井住友カード,日用品,家具・インテリア,,0,sample-id-012
1,2025/11/22,コンビニATM,-10000,みずほ銀行,現金・カード,ATM,,1,sample-id-013
1,2025/12/27,Suica(携帯決済),-2000,楽天カード,現金・カード,電子マネー,,0,dubqCJge2uZNx0gkqRIZypF7fnGBaZFp4D0OjGCfYIs
0,2025/12/27,VISA国内利用 VS AMAZON DOWNLOADS,-980,楽天カード,教養・教育,書籍,,1,UI0OJyobR1aD3mzClhh4TBVim4m-t7lJvuCIThK5b2o
